City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,nemuro,43.3236,145.575,11.84,81,100,8.78,JP,1731267868
307,san patricio,28.017,-97.5169,31.97,56,20,3.33,US,1731267869
308,ilulissat,69.2167,-51.1,-3.99,74,75,4.63,GL,1731267746
309,nechi,8.0942,-74.7757,26.73,91,98,1.41,CO,1731267871
310,armacao de buzios,-22.7469,-41.8817,25.09,75,50,4.07,BR,1731267872
311,berbesti,44.9833,23.8833,4.14,90,100,0.83,RO,1731267874
312,uturoa,-16.7333,-151.4333,27.22,81,100,6.03,PF,1731267875
313,andorra,42.5,1.5,6.78,91,31,3.57,AD,1731267876
314,malango,-2.9627,119.9001,18.42,98,33,1.15,ID,1731267877
315,alice springs,-23.7,133.8833,18.75,88,100,3.6,AU,1731267878
316,bikenibeu village,1.3673,173.1241,27.98,89,75,4.12,KI,1731267879
317,mutuali,-14.8706,37.0044,24.68,61,13,1.36,MZ,1731267880
318,touros,-5.1989,-35.4608,26.07,72,100,5.92,BR,1731267882
319,tulum,20.2167,-87.4667,28.49,75,90,1.7,MX,1731267883
320,lebu,-37.6167,-73.65,14.06,69,0,4.72,CL,1731267644
321,tasqala,51.1167,50.3167,2.67,81,99,2.84,KZ,1731267885
322,mgandu,-5.95,34.1333,22.56,43,78,2.52,TZ,1731267886
323,kozyatyn,49.7143,28.8339,2.55,75,6,1.91,UA,1731267887
324,shuangcheng,45.35,126.2833,-0.36,35,32,0.36,CN,1731267888
325,ngorongoro,-3.2397,35.4875,13.9,68,86,1.5,TZ,1731267890
326,tarawa,1.419,172.984,28.05,89,75,4.12,KI,1731267730
327,severnoye,56.3491,78.3619,-8.0,90,100,4.54,RU,1731267892
328,dazhou,31.2159,107.5009,16.36,78,100,1.02,CN,1731267893
329,salaga,8.5508,-0.5188,27.83,37,62,1.41,GH,1731267894
330,port alfred,-33.5906,26.891,15.66,98,100,0.89,ZA,1731267895
331,archangelos,36.2149,28.1149,18.5,75,98,1.46,GR,1731267896
332,itanhem,-17.1664,-40.33,22.78,92,98,4.9,BR,1731267897
333,ulaangom,49.9811,92.0667,-6.3,58,99,0.92,MN,1731267899
334,taroa,8.7058,171.2275,28.39,74,0,7.37,MH,1731267900
335,york,40.1254,-77.0,11.55,60,100,2.57,US,1731267687
336,fort st. john,56.2499,-120.8529,-0.06,69,75,3.09,CA,1731267902
337,kerikeri,-35.2268,173.9474,18.57,80,100,2.08,NZ,1731267903
338,olinda,-8.0089,-34.8553,27.85,69,40,5.66,BR,1731267905
339,la'ie,21.6477,-157.9253,26.7,73,30,5.81,US,1731267906
340,jeremie,18.65,-74.1167,28.38,79,54,1.66,HT,1731267907
341,chibougamau,49.9168,-74.3659,2.79,81,100,3.6,CA,1731267908
342,pathein,16.7833,94.7333,22.22,95,64,2.36,MM,1731267909
343,conduaga,8.862,117.4893,25.77,89,100,1.56,PH,1731267910
344,sinabang,2.4803,96.3801,26.33,86,100,0.65,ID,1731267912
345,kurchatov,51.6601,35.6521,5.49,75,100,2.53,RU,1731267913
346,necochea,-38.5473,-58.7368,13.87,91,100,7.89,AR,1731267914
347,essaouira,31.5125,-9.77,22.72,64,4,3.6,MA,1731267915
348,kirakira,-10.4544,161.9205,26.81,84,100,3.19,SB,1731267916
349,mananjary,-21.2167,48.3333,23.97,94,42,3.51,MG,1731267917
350,alofi,-19.0595,-169.9187,24.94,78,75,6.69,NU,1731267695
351,sylvan lake,52.3168,-114.0853,1.76,89,75,4.63,CA,1731267902
352,qarauyl,48.9451,79.255,0.31,79,100,12.25,KZ,1731267921
353,chonchi,-42.6128,-73.8092,12.29,82,28,4.23,CL,1731267675
354,akonolinga,3.7667,12.25,20.46,94,59,0.68,CM,1731267923
355,ussel,45.55,2.3167,9.68,88,97,2.18,FR,1731267924
356,cill airne,52.05,-9.5167,8.18,94,29,0.97,IE,1731267925
357,dover,39.1582,-75.5244,16.73,55,100,4.12,US,1731267926
358,betio village,1.358,172.9211,28.02,76,91,8.07,KI,1731267927
359,antonio enes,-16.2325,39.9086,26.04,86,3,5.22,MZ,1731267929
